probPopping,threshold,numTargets,optimal,optimal2,time,noResolution
0,24,2,1.0,0.0,3.856019268314885,0
0,24,3,0.9,0.0,6.259485924228726,0
0,24,4,0.7,0.2,7.952149705759271,0
0.05,24,2,0.9,0.1,4.5235587500249625,0
0.05,24,3,0.7,0.3,7.3080502772964255,0
0.05,24,4,0.9,0.1,8.609905178553044,0
0.1,24,2,0.9,0.1,4.639377419962344,0
0.1,24,3,0.9,0.1,7.423600557865898,0
0.1,24,4,0.4,0.3,13.329627919433435,0
0.2,24,2,0.8,0.2,5.63016170138381,0
0.2,24,3,0.7,0.0,20.929523731491628,3
0.2,24,4,0.6,0.0,32.481910616408975,4
0,25,2,0.9,0.1,4.4077656115411346,0
0,25,3,0.8,0.1,5.856598468401647,0
0,25,4,0.5,0.2,8.631664404970262,0
0.05,25,2,0.8,0.2,5.264657318987439,0
0.05,25,3,0.6,0.4,6.953390384617933,0
0.05,25,4,0.9,0.1,7.676084667523088,0
0.1,25,2,0.7,0.3,5.660604460408247,0
0.1,25,3,0.7,0.3,8.438695367076914,0
0.1,25,4,0.5,0.1,11.642075040097447,0
0.2,25,2,0.8,0.2,5.891608245163211,0
0.2,25,3,0.8,0.0,15.037135093871019,2
0.2,25,4,0.6,0.0,32.3158943918698,4
0,26,2,1.0,0.0,4.126366739867181,0
0,26,3,0.8,0.2,6.298574454588328,0
0,26,4,0.8,0.2,7.32559586246923,0
0.05,26,2,0.9,0.1,4.9365601184413155,0
0.05,26,3,0.7,0.1,7.228063458469521,0
0.05,26,4,0.8,0.2,9.595768106933397,0
0.1,26,2,1.0,0.0,4.061252838237421,0
0.1,26,3,0.9,0.0,7.003447936861474,0
0.1,26,4,0.5,0.0,12.714466624670836,0
0.2,26,2,0.8,0.2,7.808949861008133,0
0.2,26,3,0.8,0.2,11.069970830921879,0
0.2,26,4,0.5,0.0,42.81021177862182,5
0,27,2,0.7,0.3,4.920345050068191,0
0,27,3,0.8,0.0,6.7834442900839065,0
0,27,4,0.6,0.2,8.816027336763858,0
0.05,27,2,0.8,0.2,4.716960824265696,0
0.05,27,3,0.7,0.2,7.011979352857438,0
0.05,27,4,0.9,0.1,8.623871465333096,0
0.1,27,2,0.9,0.1,5.235885745602323,0
0.1,27,3,0.7,0.1,8.318738571918747,0
0.1,27,4,0.9,0.0,9.518614896346593,0
