startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,10000
shareFirstAttribute,"0.5"

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.15,55,0.4511,0.5073,8.707249703913508,129
0.2,55,0.4425,0.5425,9.598392336235646,763
0.0,60,0.468,0.5069,6.342485538210217,0
0.05,60,0.4605,0.5109,6.9619827915654025,0
0.1,60,0.4523,0.5096,7.841274341914477,5
0.15,60,0.4565,0.5042,8.837120271485155,142
0.2,60,0.4381,0.5509,9.777662026242686,803
0.0,65,0.4633,0.5151,6.452017312850582,0
0.05,65,0.4702,0.5034,7.06976756756676,0
0.1,65,0.4609,0.5009,7.9470576536450235,7
0.15,65,0.4513,0.5082,9.041423849212645,189
0.2,65,0.4344,0.5573,9.922689951679494,805
0.0,70,0.4684,0.5124,6.5663136966104565,0
0.05,70,0.4745,0.5025,7.175973388866172,0
0.1,70,0.4602,0.5057,8.078452758539765,4
0.15,70,0.4491,0.5115,9.200951024944889,221
0.2,70,0.4288,0.564,10.062609427557382,863
0.0,75,0.4623,0.5194,6.656173365694886,0
0.05,75,0.4625,0.5147,7.309535666832086,0
0.1,75,0.4578,0.509,8.214108396727536,11
0.15,75,0.4462,0.5163,9.32044921809811,185
0.2,75,0.4305,0.561,10.175590244352705,859
0.0,80,0.4719,0.5101,6.775212729277433,0
0.05,80,0.468,0.5099,7.402394459761808,0
0.1,80,0.4544,0.5117,8.354793001447815,8
0.15,80,0.4528,0.5111,9.396644416643609,204
0.2,80,0.4408,0.554,10.31620811748722,861
0.0,90,0.4649,0.5191,6.97234051895412,0
0.05,90,0.469,0.5088,7.625658875587232,1
0.1,90,0.4575,0.5099,8.524547822148165,11
0.15,90,0.4457,0.5223,9.630417586022377,232
0.2,90,0.4296,0.5665,10.581712723139946,887
0.0,100,0.4711,0.515,7.1097856924963985,0
0.05,100,0.4673,0.513,7.79256680975367,0
0.1,100,0.4569,0.512,8.756620693084482,13
0.15,100,0.4498,0.5191,9.840863675266371,249
0.2,100,0.4329,0.5644,10.83099794040346,887
0.0,110,0.4617,0.5257,7.257964720460266,0
0.05,110,0.4721,0.5088,7.960316901647541,0
0.1,110,0.456,0.5149,8.937087336669908,23
0.15,110,0.4564,0.5173,9.962969541979218,286
0.2,110,0.4356,0.563,11.022774232549157,871
0.0,120,0.4652,0.5235,7.416862112258717,0
0.05,120,0.4689,0.5148,8.081614792074244,0
0.1,120,0.4574,0.5149,9.0577820648136,24
0.15,120,0.4562,0.5187,10.164605894863254,305
0.2,120,0.4304,0.5687,11.228116628137261,944
0.0,130,0.483,0.5083,7.520674140160132,0
0.05,130,0.4665,0.5174,8.228251508921664,0
0.1,130,0.4592,0.5114,9.208884651911932,23
0.15,130,0.4508,0.5246,10.338030490797246,308
0.2,130,0.4323,0.5674,11.386999197744483,852
0.0,140,0.471,0.5185,7.6449331885334715,0
0.05,140,0.4617,0.5212,8.374059193221763,0
0.1,140,0.4604,0.5126,9.354240170813753,30
0.15,140,0.4499,0.5308,10.363721253782552,344
0.2,140,0.4306,0.569,11.532626899296417,941
0.0,150,0.4719,0.5183,7.734350637238596,0
0.05,150,0.4674,0.519,8.449552783247954,0
0.1,150,0.4602,0.5115,9.507341529553752,17
